id	times_submit	time_finish	source	source_info	IP	sex	grade	residence	school	SNS1	SNS2	SNS3	SNS4	SNS5	SNS6	SES1	SES2	SES3	SES4	SES5	SES6	SES7	SES8	SES9	SES10	CSES1	CSES2	CSES3	CSES4	EIB1	EIB2	EIB3	EIB4	EIB5	EIB6	EIB7	EIB8	total	SES3_r	SES5_r	SES9_r	SES10_r
1	2021/3/23 8:23:24	57秒	微信	N/A	117.136.84.198(云南-昆明)	1	2	1	2	.801953698731894	.119266937293226	.900486926789826	.427219243729449	1.28236066417334	1.38024099038612	4	4	1	1	1	4	4	4	4	4	6	6	7	6	5	5	4	5	5	5	4	5	122	4	4	1	1
2	2021/3/23 8:37:29	134秒	微信	N/A	221.192.178.123(河北-沧州)	1	4	1	2	.801953698731894	.119266937293226	.900486926789826	-.379485250016662	.390513124069247	-1.04254786867595	4	4	1	4	1	4	4	1	3	2	6	6	5	5	4	4	4	3	3	4	3	4	102	4	4	2	3
3	2021/3/23 9:28:19	102秒	微信	N/A	117.136.84.17(云南-昆明)	2	4	2	1	.801953698731894	.119266937293226	.900486926789826	.427219243729449	-1.39318195613894	1.38024099038612	3	3	2	3	2	3	3	3	3	3	4	4	5	4	4	4	4	4	2	2	2	5	97	3	3	2	2
4	2021/3/23 9:49:03	169秒	微信	N/A	223.104.240.157(云南-未知)	2	2	1	2	-.272261691643456	.119266937293226	-.00446227416645099	.427219243729449	.390513124069247	-.23495158232193	3	3	2	3	2	3	3	3	3	3	6	6	5	5	4	4	3	3	4	4	4	4	103	3	3	2	2
5	2021/3/23 9:54:10	140秒	微信	N/A	117.136.72.68(云南-昆明)	2	2	1	2	-2.42069247239416	-1.71310691748451	-2.71930987703528	-1.99289423750888	-1.39318195613894	-1.85014415502998	3	3	1	3	2	4	3	1	2	1	6	5	5	6	4	4	4	4	3	3	4	4	84	4	3	3	4
6	2021/3/23 10:06:25	1474秒	微信	N/A	223.104.240.84(云南-未知)	1	2	2	2	.801953698731894	.119266937293226	.900486926789826	.427219243729449	.390513124069247	-.23495158232193	4	4	2	4	2	4	3	2	1	1	7	7	7	7	5	5	5	5	5	5	3	2	115	3	3	4	4
7	2021/3/23 10:06:47	47秒	微信	N/A	223.104.39.30(北京-北京)	2	1	2	1	.801953698731894	1.03545386468209	.900486926789826	1.23392373747556	1.28236066417334	1.38024099038612	4	4	4	4	4	4	4	4	2	3	5	3	5	2	3	5	2	5	3	2	3	2	107	1	1	3	2
8	2021/3/23 10:09:19	90秒	微信	N/A	14.204.0.146(云南-昆明)	2	2	1	2	.801953698731894	.119266937293226	.900486926789826	1.23392373747556	.390513124069247	.572644704032094	2	2	2	3	3	3	3	3	3	3	4	3	5	4	3	3	3	2	2	1	1	1	86	3	2	2	2
9	2021/3/23 10:15:32	121秒	微信	N/A	223.104.246.37(浙江-杭州)	2	2	2	1	.801953698731894	1.03545386468209	.900486926789826	-.379485250016662	.390513124069247	-.23495158232193	4	4	1	3	1	3	3	2	3	1	3	5	5	5	4	3	2	4	2	3	2	2	90	4	4	2	4
10	2021/3/23 10:19:40	76秒	微信	N/A	117.136.72.157(云南-昆明)	1	2	1	2	.801953698731894	1.03545386468209	.900486926789826	-1.99289423750888	1.28236066417334	.572644704032094	4	4	1	4	1	4	4	1	1	1	7	7	7	7	5	5	5	5	5	4	4	5	116	4	4	4	4
11	2021/3/23 10:23:06	74秒	微信	N/A	117.136.72.237(云南-昆明)	2	2	2	2	-.272261691643456	.119266937293226	-.909411475122728	-1.18618974376277	-.501334416034844	-.23495158232193	2	2	3	2	2	2	2	3	3	3	3	3	5	3	4	4	4	4	2	4	3	3	85	2	3	2	2
12	2021/3/23 10:25:20	119秒	微信	N/A	117.136.84.178(云南-昆明)	2	2	1	2	-.272261691643456	-1.71310691748451	-.00446227416645099	-1.18618974376277	-1.39318195613894	-1.04254786867595	2	2	2	3	3	2	2	3	3	3	4	4	5	4	2	2	4	3	2	2	3	2	78	3	2	2	2
13	2021/3/23 12:16:46	163秒	微信	N/A	106.61.21.11(云南-昆明)	2	2	1	2	-.272261691643456	-1.71310691748451	-.00446227416645099	-1.99289423750888	-1.39318195613894	-1.04254786867595	3	3	2	3	3	3	3	3	3	3	4	3	6	5	4	4	2	4	2	2	4	4	88	3	2	2	2
14	2021/3/23 12:21:31	138秒	微信	N/A	223.104.240.202(云南-未知)	2	2	1	1	-.272261691643456	-1.71310691748451	-.00446227416645099	-1.18618974376277	-1.39318195613894	-1.85014415502998	3	2	3	2	4	2	3	4	4	4	3	2	5	6	4	1	2	4	1	2	2	2	80	2	1	1	1
15	2021/3/23 12:21:35	111秒	微信	N/A	117.136.84.242(云南-昆明)	2	2	2	2	-.272261691643456	.119266937293226	-.00446227416645099	-1.18618974376277	.390513124069247	-1.04254786867595	3	3	1	3	2	3	3	2	3	3	5	5	5	5	4	3	4	4	4	4	4	4	97	4	3	2	2
16	2021/3/23 12:22:34	40秒	微信	N/A	183.192.95.201(上海-上海)	1	2	1	1	.801953698731894	1.03545386468209	.900486926789826	1.23392373747556	1.28236066417334	1.38024099038612	4	4	1	4	1	4	4	1	1	1	5	5	5	4	3	3	3	3	3	3	3	3	98	4	4	4	4
17	2021/3/23 12:47:38	55秒	微信	N/A	183.157.162.225(浙江-杭州)	2	2	1	1	.801953698731894	1.03545386468209	.900486926789826	1.23392373747556	1.28236066417334	.572644704032094	4	4	1	4	1	4	4	1	1	1	7	7	7	7	5	5	5	5	5	4	4	4	119	4	4	4	4
18	2021/3/23 12:48:29	84秒	微信	N/A	36.19.164.182(浙江-杭州)	2	2	1	1	-1.34647708201881	-.796919990095643	-.909411475122728	-.379485250016662	-.501334416034844	.572644704032094	3	3	2	3	2	3	3	2	2	2	4	4	4	4	3	3	3	3	3	3	3	3	84	3	3	3	3
19	2021/3/23 12:57:35	53秒	微信	N/A	124.160.219.233(浙江-杭州)	1	2	1	1	-.272261691643456	.119266937293226	-.00446227416645099	.427219243729449	.390513124069247	-.23495158232193	3	3	2	3	3	3	3	3	3	4	4	4	4	5	4	4	4	4	4	4	3	3	100	3	2	2	1
20	2021/3/23 12:58:02	127秒	微信	N/A	106.61.127.144(云南-昆明)	1	2	2	1	.801953698731894	1.03545386468209	.900486926789826	-1.18618974376277	-1.39318195613894	1.38024099038612	3	3	1	4	2	4	4	4	1	1	4	5	2	2	5	2	2	5	3	3	3	3	90	4	3	4	4
21	2021/3/23 13:05:55	226秒	微信	N/A	120.199.34.102(浙江-杭州)	2	2	1	2	.801953698731894	1.03545386468209	.900486926789826	1.23392373747556	1.28236066417334	1.38024099038612	3	3	3	3	2	3	3	2	2	2	5	5	5	5	4	4	4	4	4	4	4	4	108	2	3	3	3
